Cat_Name,Status
Weatherproofing_Garage Door Seals,FALSE
Jacks & Accessories_Accessories,FALSE
Decking & Fencing_Railings & Pickets_Posts & Accessories_Caps,FALSE
Roofing_Roof Caps,FALSE
Protective Workwear_Safety Apparel_Aprons,FALSE
"Winches, Hoists & Pulleys_Winches",FALSE
Raw Building Materials_Construction Boards,FALSE
Doors_Interior & Closet Doors_Slab Doors,FALSE
Interior & Exterior House Paint,FALSE
Specialty Paint_Furniture Paint,FALSE
Permanent Magnet Motors,FALSE
Nuts_Tube Nuts_Union Nuts,FALSE
Faucet Index Buttons,FALSE
Scaffolding & Accessories,FALSE
Power Water Pumps,FALSE
"Doors_Garage Doors, Openers & Parts_Hardware_Rollers",FALSE
Abrasive Wheels & Discs_Sanding Discs_Quick Change Discs,FALSE
Roofing_Flashing,FALSE
